Stock,Symbol
ABans Enterpris,Yearly Results of ABans Enterprises (in Rs. Cr.)
Abans Holdings,Yearly Results of Abans Holdings (in Rs. Cr.)
ABATE AS IND.,Yearly Results of ABATE AS INDUSTRIES (in Rs. Cr.)
ABB India,Yearly Results of ABB India (in Rs. Cr.)
Abbott India,Yearly Results of Abbott India (in Rs. Cr.)
ABC Bearings,Yearly Results of ABC Bearings (in Rs. Cr.)
ABC Gas,Yearly Results of ABC Gas International (in Rs. Cr.)
ABC India,Yearly Results of ABC India (in Rs. Cr.)
Abee Printer,Yearly Results of Abee Printer Ribbons (in Rs. Cr.)
ABG Shipyard,Yearly Results of ABG Shipyard (in Rs. Cr.)
Abhijit Trading,Yearly Results of Abhijit Trading Company (in Rs. Cr.)
Abhinav Capital,Yearly Results of Abhinav Capital Services (in Rs. Cr.)
Abhinav Leasing,Yearly Results of Abhinav Leasing & Finance (in Rs. Cr.)
Abhishek Corp,Yearly Results of Abhishek Corporation (in Rs. Cr.)
Abhishek Finle,Yearly Results of Abhishek Finlease (in Rs. Cr.)
Abhishek Infra,Yearly Results of Abhishek Infraventures (in Rs. Cr.)
Abhishek Integr,Yearly Results of Abhishek Integrations (in Rs. Cr.)
Abirami Finance,Yearly Results of Abirami Financial Services (India) (in Rs. Cr.)
ABL Biotech,Yearly Results of ABL Biotechnologies (in Rs. Cr.)
ABM Inter,Yearly Results of ABM International (in Rs. Cr.)
ABM Knowledg,Yearly Results of ABM Knowledgeware (in Rs. Cr.)
Abner Pharma,Yearly Results of Abner Pharma (in Rs. Cr.)
ABSL AMC,Yearly Results of Aditya Birla Sun Life AMC (in Rs. Cr.)
ACC,Yearly Results of ACC (in Rs. Cr.)
ACCEDERE,Yearly Results of ACCEDERE (in Rs. Cr.)
Accel,Yearly Results of Accel (in Rs. Cr.)
Acceleratebs,Yearly Results of Acceleratebs India (in Rs. Cr.)
Accelya,Yearly Results of Accelya Solutions India (in Rs. Cr.)
Accent Micro,Yearly Results of Accent Microcell (in Rs. Cr.)
Accentia Techno,Yearly Results of Accentia Technologies (in Rs. Cr.)
Acclaim Ind,Yearly Results of Acclaim Industries (in Rs. Cr.)
Accord Synergy,Yearly Results of Accord Synergy (in Rs. Cr.)
Accuracy Shippi,Yearly Results of Accuracy Shipping (in Rs. Cr.)
Accurate Exp,Yearly Results of Accurate Exports (in Rs. Cr.)
Accurate Transf,Yearly Results of Accurate Transformers (in Rs. Cr.)
ACE Edutrend,Yearly Results of ACE Edutrend (in Rs. Cr.)
ACE ENG,Yearly Results of ACE ENGITECH (in Rs. Cr.)
ACE Integrated,Yearly Results of ACE Integrated Solutions (in Rs. Cr.)
Ace Men Engg Wo,Yearly Results of Ace Men Engg Works Limited (in Rs. Cr.)
Ace Soft Export,Yearly Results of Ace Software Exports (in Rs. Cr.)
Ace Software,Yearly Results of Ace Software (in Rs. Cr.)
Ace Tours,Yearly Results of Ace Tours Worldwide (in Rs. Cr.)
Acewin Agriteck,Yearly Results of Acewin Agriteck (in Rs. Cr.)
ACGL,Yearly Results of Automobile Corp of Goa (ACGL) (in Rs. Cr.)
Achal Invest,Yearly Results of Achal Investments (in Rs. Cr.)
Achyut Health,Yearly Results of Achyut Healthcare (in Rs. Cr.)
ACI Infocom,Yearly Results of ACI Infocom (in Rs. Cr.)
ACIL Cotton Ind,Yearly Results of ACIL Cotton Industries (in Rs. Cr.)
Acknit Industri,Yearly Results of Acknit Industries Ltd. (in Rs. Cr.)
Acmasnvadn dcnd,Yearly Results of Acmasnvadn dcnd (in Rs. Cr.)
Acme Resources,Yearly Results of Acme Resources (in Rs. Cr.)
Acropetal Tech,Yearly Results of Acropetal Technologies (in Rs. Cr.)
Acrow India,Yearly Results of Acrow (India) (in Rs. Cr.)
Action Const,Yearly Results of Action Construction Equipment (in Rs. Cr.)
Action Financia,Yearly Results of Action Financial Services (India) (in Rs. Cr.)
Active Clothing,Yearly Results of Active Clothing Co Ltd. (in Rs. Cr.)
Ad Manum Fin,Yearly Results of Ad Manum Finance (in Rs. Cr.)
Adam Comsof,Yearly Results of Adam Comsof (in Rs. Cr.)
Adani Energy,Yearly Results of Adani Energy Solutions (in Rs. Cr.)
Adani Enterpris,Yearly Results of Adani Enterprises (in Rs. Cr.)
Adani Green Ene,Yearly Results of Adani Green Energy Limited (in Rs. Cr.)
Adani Ports,Yearly Results of Adani Ports and Special Economic Zone (in Rs. Cr.)
Adani Power,Yearly Results of Adani Power (in Rs. Cr.)
Adani Total Gas,Yearly Results of Adani Total Gas (in Rs. Cr.)
Adani Wilmar,Yearly Results of Adani Wilmar (in Rs. Cr.)
Adarsh Chemical,Yearly Results of Adarsh Chemicals and Fertilisers (in Rs. Cr.)
Adarsh Mercant,Yearly Results of Adarsh Mercantile (in Rs. Cr.)
Adarsh Plant,Yearly Results of Adarsh Plantation Projects (in Rs. Cr.)
ADC India Comm,Yearly Results of ADC India Communications (in Rs. Cr.)
Adcon Capital,Yearly Results of Adcon Capital Services (in Rs. Cr.)
Add-Life Pharma,Yearly Results of Add-Life Pharma (in Rs. Cr.)
Add-Shop Promot,Yearly Results of Add-Shop Promotions (in Rs. Cr.)
Addi Industries,Yearly Results of Addi Industries (in Rs. Cr.)
Adeshwar Medite,Yearly Results of Adeshwar Meditex (in Rs. Cr.)
ADF Foods,Yearly Results of ADF Foods Industries (in Rs. Cr.)
Adharshila Cap,Yearly Results of Adharshila Capital Services (in Rs. Cr.)
Adhbhut Infra,Yearly Results of Adhbhut Infrastructure (in Rs. Cr.)
Adhunik Metalik,Yearly Results of Adhunik Metaliks (in Rs. Cr.)
Adhunik Synth,Yearly Results of Adhunik Synthetics (in Rs. Cr.)
Adhunik Yarns,Yearly Results of Adhunik Yarns (in Rs. Cr.)
Adinath Bio-Lab,Yearly Results of Adinath Bio-Labs (in Rs. Cr.)
Adinath Exim,Yearly Results of Adinath Exim Resources (in Rs. Cr.)
ADINATH TEXTILE,Yearly Results of ADINATH TEXTILES (in Rs. Cr.)
Adishakti Loha,Yearly Results of Adishakti Loha & Ispat (in Rs. Cr.)
Adithya Aqua,Yearly Results of Adithya Aqua Culture (in Rs. Cr.)
Aditri Industri,Yearly Results of Aditri Industries (in Rs. Cr.)
Aditya Birla Ch,Yearly Results of Aditya Birla Chemicals (in Rs. Cr.)
Aditya Birla F,Yearly Results of Aditya Birla Fashion & Retail (in Rs. Cr.)
Aditya Consumer,Yearly Results of Aditya Consumer Marketing (in Rs. Cr.)
Aditya Forge,Yearly Results of Aditya Forge (in Rs. Cr.)
Aditya Ispat,Yearly Results of Aditya Ispat (in Rs. Cr.)
Aditya Spinners,Yearly Results of Aditya Spinners (in Rs. Cr.)
Aditya Vision,Yearly Results of Aditya Vision (in Rs. Cr.)
Adjia Tech,Yearly Results of Adjia Technologies (in Rs. Cr.)
Adline Chem Lab,Yearly Results of Adline Chem Lab (in Rs. Cr.)
Ador Fontech,Yearly Results of Ador Fontech (in Rs. Cr.)
Ador Multi,Yearly Results of Ador Multiproducts (in Rs. Cr.)
Ador Welding,Yearly Results of Ador Welding (in Rs. Cr.)
Adroit Infotech,Yearly Results of Adroit Infotech (in Rs. Cr.)
ADS Diagnostic ,Yearly Results of ADS Diagnostic (in Rs. Cr.)
Advait Infratec,Yearly Results of Advait Infratech Limited (in Rs. Cr.)
Advance Life,Yearly Results of Advance Lifestyles (in Rs. Cr.)
Advance Meter,Yearly Results of Advance Metering Technology (in Rs. Cr.)
Advance Multi,Yearly Results of Advance Multitech (in Rs. Cr.)
Advance Petro,Yearly Results of Advance Petrochemicals (in Rs. Cr.)
Advance Power,Yearly Results of Advance PowerInfra Tech (in Rs. Cr.)
Advance Syntex ,Yearly Results of Advance Syntex (in Rs. Cr.)
Advanced Enzyme,Yearly Results of Advanced Enzyme Technologies (in Rs. Cr.)
Advanced Micron,Yearly Results of Advanced Micronic Devices (in Rs. Cr.)
Advani Hotels,Yearly Results of Advani Hotels and Resorts (India) (in Rs. Cr.)
Advanta,Yearly Results of Advanta (in Rs. Cr.)
Advent Computer,Yearly Results of Advent Computer Services (in Rs. Cr.)
Advik Capital ,Yearly Results of Advik Capital (in Rs. Cr.)
Advik Labors,Yearly Results of Advik Laboratories (in Rs. Cr.)
Aegis Logistics,Yearly Results of Aegis Logistics (in Rs. Cr.)
Aeonian Pub,Yearly Results of Aeonian Investments (in Rs. Cr.)
Aerpace Ind.,Yearly Results of Aerpace Industries (in Rs. Cr.)
Aether Ind,Yearly Results of Aether Industries (in Rs. Cr.)
Affle India,Yearly Results of Affle India (in Rs. Cr.)
Affordable Robo,Yearly Results of Affordable Robotic & Automation (in Rs. Cr.)
AFL,Yearly Results of Arvind Fashions Limited (in Rs. Cr.)
Aftek,Yearly Results of Aftek (in Rs. Cr.)
Agarwal Float,Yearly Results of Agarwal Float Glass India (in Rs. Cr.)
Agarwal Fortune,Yearly Results of Agarwal Fortune India (in Rs. Cr.)
Agarwal Ind,Yearly Results of Agarwal Industrial Corporation (in Rs. Cr.)
AGI Greenpac,Yearly Results of AGI Greenpac (in Rs. Cr.)
AGI Infra,Yearly Results of AGI Infra (in Rs. Cr.)
Agio Paper,Yearly Results of Agio Paper & Industries (in Rs. Cr.)
Agni Green,Yearly Results of Agni Green Power (in Rs. Cr.)
Agri Marine Exp,Yearly Results of Agri Marine Exports (in Rs. Cr.)
Agri-Tech,Yearly Results of Agri-Tech (India) (in Rs. Cr.)
Agrimony Comm,Yearly Results of Agrimony Commodities (in Rs. Cr.)
Agro Dutch Ind,Yearly Results of Agro Dutch Industries (in Rs. Cr.)
Agro Phos India,Yearly Results of Agro Phos India (in Rs. Cr.)
Agro Tech Foods,Yearly Results of Agro Tech Foods (in Rs. Cr.)
AGS Infotech,Yearly Results of AGS Infotech (in Rs. Cr.)
AGS Transact,Yearly Results of AGS Transact Technologies (in Rs. Cr.)
Ahimsa Ind,Yearly Results of Ahimsa Industries (in Rs. Cr.)
Ahlada Engineer,Yearly Results of Ahlada Engineers (in Rs. Cr.)
Ahlcon Parent,Yearly Results of Ahlcon Parenteral (India) (in Rs. Cr.)
Ahluwalia,Yearly Results of Ahluwalia Contracts India (in Rs. Cr.)
Ahmedabad St,Yearly Results of Ahmedabad Stellcr (in Rs. Cr.)
Ahura Weld,Yearly Results of Ahura Welding Elec Mfg (in Rs. Cr.)
AI Champdany,Yearly Results of AI Champdany Industries (in Rs. Cr.)
AIA Engineering,Yearly Results of AIA Engineering (in Rs. Cr.)
AIH,Yearly Results of Ambassador Intra Holdings (in Rs. Cr.)
Aikyam Intellec,Yearly Results of Aikyam Intellectual Property Consultancy (in Rs. Cr.)
Aimco Pesticide,Yearly Results of Aimco Pesticides (in Rs. Cr.)
Airan,Yearly Results of Airan (in Rs. Cr.)
Airo Lam,Yearly Results of Airo Lam (in Rs. Cr.)
AJ Brothers,Yearly Results of AJ Brothers (in Rs. Cr.)
Ajanta Pharma,Yearly Results of Ajanta Pharma (in Rs. Cr.)
Ajanta Soya,Yearly Results of Ajanta Soya (in Rs. Cr.)
Ajbcjsbc lvnsdj,Yearly Results of Ajbcjsbc lvnsdjv (in Rs. Cr.)
Ajcon Global,Yearly Results of Ajcon Global (in Rs. Cr.)
AJEL,Yearly Results of AJEL (in Rs. Cr.)
Ajmera Realty,Yearly Results of Ajmera Realty and Infra India (in Rs. Cr.)
Ajooni Biotech,Yearly Results of Ajooni Biotech Ltd. (in Rs. Cr.)
AJR Infra & Tol,Yearly Results of AJR Infra and Tolling (in Rs. Cr.)
Ajwa Fun World,Yearly Results of Ajwa Fun World and Resort (in Rs. Cr.)
Akar Auto Indus,Yearly Results of Akar Auto Industries (in Rs. Cr.)
Akash Infraproj,Yearly Results of Akash Infraprojects (in Rs. Cr.)
AKG Exim,Yearly Results of AKG Exim (in Rs. Cr.)
AKI India,Yearly Results of AKI India (in Rs. Cr.)
AKM Lace and Em,Yearly Results of AKM Lace and Embrotex (in Rs. Cr.)
Aksh Optifibre,Yearly Results of Aksh Optifibre (in Rs. Cr.)
Akshar Spintex,Yearly Results of Akshar Spintex (in Rs. Cr.)
AksharChem,Yearly Results of AksharChem (India) (in Rs. Cr.)
Akzo Nobel,Yearly Results of Akzo Nobel India (in Rs. Cr.)
Alacrity Elec,Yearly Results of Alacrity Electronics (in Rs. Cr.)
Alacrity Housin,Yearly Results of Alacrity Housing (in Rs. Cr.)
Alacrity Sec,Yearly Results of Alacrity Securities (in Rs. Cr.)
Alan Scott Ind.,Yearly Results of Alan Scott Industries (in Rs. Cr.)
Alang Ind Gases,Yearly Results of Alang Industries Gases (in Rs. Cr.)
Alang Marine,Yearly Results of Alang Marine (in Rs. Cr.)
Alankit,Yearly Results of Alankit (in Rs. Cr.)
Albert David,Yearly Results of Albert David (in Rs. Cr.)
Alchemist,Yearly Results of Alchemist (in Rs. Cr.)
Alchemist Corp,Yearly Results of Alchemist Corporation (in Rs. Cr.)
Alchemist Real,Yearly Results of Alchemist Realty (in Rs. Cr.)
Alcobex Metals,Yearly Results of Alcoblex Metals (in Rs. Cr.)
Alembic,Yearly Results of Alembic (in Rs. Cr.)
Alembic Pharma,Yearly Results of Alembic Pharmaceuticals (in Rs. Cr.)
Alexander Stamp,Yearly Results of Alexander Stamps  And Coin (in Rs. Cr.)
Alexcon Foam,Yearly Results of Alexcon Foamcast (in Rs. Cr.)
Alfa ICA,Yearly Results of Alfa ICA (India) (in Rs. Cr.)
Alfa Laval,Yearly Results of Alfa Laval (India) (in Rs. Cr.)
Alfa Transforme,Yearly Results of Alfa Transformer (in Rs. Cr.)
Alfavision Sec,Yearly Results of Alfavision Securities and Finance (in Rs. Cr.)
Alfred Herbert,Yearly Results of Alfred Herbert (India) (in Rs. Cr.)
Algoquant Finte,Yearly Results of Algoquant Fintech (in Rs. Cr.)
Alicon Castallo,Yearly Results of Alicon Castalloy (in Rs. Cr.)
Alka Diamond,Yearly Results of Alka Diamond Industries (in Rs. Cr.)
Alka India,Yearly Results of Alka India (in Rs. Cr.)
Alka Secur,Yearly Results of Alka Securities (in Rs. Cr.)
Alkali Metals,Yearly Results of Alkali Metals (in Rs. Cr.)
Alkem Lab,Yearly Results of Alkem Laboratories (in Rs. Cr.)
Alkosign,Yearly Results of Alkosign (in Rs. Cr.)
Alkyl Amines,Yearly Results of Alkyl Amines Chemicals (in Rs. Cr.)
All E Technolog,Yearly Results of All E Technologies (in Rs. Cr.)
Allahabad Bank,Yearly Results of Allahabad Bank (in Rs. Cr.)
Allcargo,Yearly Results of Allcargo Logistics (in Rs. Cr.)
Allcargo Gati,Yearly Results of Allcargo Gati (in Rs. Cr.)
Allcargo Termin,Yearly Results of Allcargo Terminals (in Rs. Cr.)
Alliance Integ,Yearly Results of Alliance Integrated Metaliks (in Rs. Cr.)
Allied Computer,Yearly Results of Allied Computers International (Asia) (in Rs. Cr.)
Allied Digital,Yearly Results of Allied Digital Services (in Rs. Cr.)
ALLSEC Tech,Yearly Results of ALLSEC Technologies (in Rs. Cr.)
Allsoft Corp,Yearly Results of Allsoft Corporation (in Rs. Cr.)
Almondz Global,Yearly Results of Almondz Global Securities (in Rs. Cr.)
Alna Trading,Yearly Results of Alna Trading & Exports (in Rs. Cr.)
Alok Industries,Yearly Results of Alok Industries (in Rs. Cr.)
Alora Trading ,Yearly Results of Alora Trading Company Limited (in Rs. Cr.)
Alpa Labs,Yearly Results of Alpa Laboratories (in Rs. Cr.)
Alpha Graphic,Yearly Results of Alpha Graphic India (in Rs. Cr.)
Alpha Hi-Tech,Yearly Results of Alpha Hi-Tech Fuel (in Rs. Cr.)
Alphageo,Yearly Results of Alphageo (India) (in Rs. Cr.)
Alphalogic Tech,Yearly Results of Alphalogic Techsys (in Rs. Cr.)
Alpine Capital,Yearly Results of Alpine Capital Services (in Rs. Cr.)
Alpine Hsg,Yearly Results of Alpine Housing Dev Corp (in Rs. Cr.)
Alps Industries,Yearly Results of Alps Industries (in Rs. Cr.)
Alps Infosys,Yearly Results of Alps Infosys (in Rs. Cr.)
Alps Motor Fin,Yearly Results of Alps Motor Finance (in Rs. Cr.)
Alsa Marine,Yearly Results of Alsa Marine and Harvests (in Rs. Cr.)
Alstone Text,Yearly Results of Alstone Textiles (in Rs. Cr.)
Alufluoride,Yearly Results of Alufluoride (in Rs. Cr.)
Amal,Yearly Results of Amal (in Rs. Cr.)
Amalgamated Ele,Yearly Results of Amalgamated Electricity (in Rs. Cr.)
Aman Aditya Fin,Yearly Results of Aman and Aditya Financial Services (in Rs. Cr.)
Amanaya Venture,Yearly Results of Amanaya Ventures (in Rs. Cr.)
Amar Remedies,Yearly Results of Amar Remedies (in Rs. Cr.)
Amara Raja,Yearly Results of Amara Raja Energy & Mobility (in Rs. Cr.)
Amarjothi Spin,Yearly Results of Amarjothi Spinning Mills (in Rs. Cr.)
Amarnath Sec,Yearly Results of Amarnath Securities (in Rs. Cr.)
Amba Enterprise,Yearly Results of Amba Enterprises (in Rs. Cr.)
Ambalal Sarabha,Yearly Results of Ambalal Sarabhai Enterprise (in Rs. Cr.)
Ambani Organics,Yearly Results of Ambani Organics (in Rs. Cr.)
Amber Enterpris,Yearly Results of Amber Enterprises India Limited (in Rs. Cr.)
Ambica Agar,Yearly Results of Ambica Agar (in Rs. Cr.)
Ambika Cotton,Yearly Results of Ambika Cotton Mills (in Rs. Cr.)
Ambition Mica,Yearly Results of Ambition Mica (in Rs. Cr.)
Ambitious Plast,Yearly Results of Ambitious Plastomac (in Rs. Cr.)
Ambo Agritec,Yearly Results of Ambo Agritec (in Rs. Cr.)
Ambuja Cements,Yearly Results of Ambuja Cements (in Rs. Cr.)
Amco India,Yearly Results of  (in Rs. Cr.)
AMD Industries,Yearly Results of AMD Industries (in Rs. Cr.)
AMERISE BIO,Yearly Results of AMERISE BIOSCIENCES (in Rs. Cr.)
Ameya Precision,Yearly Results of Ameya Precision Engineers (in Rs. Cr.)
Amforge,Yearly Results of Amforge Industries (in Rs. Cr.)
Ami Computers,Yearly Results of Ami Computers (India) (in Rs. Cr.)
AMI Organics,Yearly Results of AMI Organics (in Rs. Cr.)
Amiable,Yearly Results of Amiable Logistics India (in Rs. Cr.)
AMIC Forging,Yearly Results of AMIC Forging (in Rs. Cr.)
Amin Tannery,Yearly Results of Amin Tannery (in Rs. Cr.)
Amines Plast,Yearly Results of Amines and Plasticizers (in Rs. Cr.)
Amison Foods,Yearly Results of Amison Foods (in Rs. Cr.)
Amit Intern,Yearly Results of Amit International (in Rs. Cr.)
Amit Securities,Yearly Results of Amit Securities (in Rs. Cr.)
Amit Spinning,Yearly Results of Amit Spinning Industries (in Rs. Cr.)
AMJ Land ,Yearly Results of AMJ Land (in Rs. Cr.)
AML Steel,Yearly Results of AML Steel (in Rs. Cr.)
Amrapali Cap,Yearly Results of Amrapali Capital and Finance Services (in Rs. Cr.)
Amrapali Fincap,Yearly Results of Amrapali Fincap (in Rs. Cr.)
Amrapali Ind,Yearly Results of Amrapali Industries (in Rs. Cr.)
Amraworld,Yearly Results of Amraworld Agrico (in Rs. Cr.)
Amrit Banaspati,Yearly Results of Amrit Banaspati Company (in Rs. Cr.)
Amrit Corp,Yearly Results of Amrit Corporation (in Rs. Cr.)
Amrutanjan Heal,Yearly Results of Amrutanjan Health Care (in Rs. Cr.)
AMS POLYMERS,Yearly Results of AMS POLYMERS LIMITED (in Rs. Cr.)
AMSL,Yearly Results of Artemis Medicare Services (in Rs. Cr.)
Amsons Apparels,Yearly Results of Amsons Apparels (in Rs. Cr.)
Amtek Auto,Yearly Results of Amtek Auto (in Rs. Cr.)
Anand Credit,Yearly Results of Anand Credit (in Rs. Cr.)
Anand Projects,Yearly Results of Anand Projects (in Rs. Cr.)
Anand Rathi,Yearly Results of Anand Rathi Wealth (in Rs. Cr.)
Anand Rayons,Yearly Results of Anand Rayons (in Rs. Cr.)
Anant Raj,Yearly Results of Anant Raj (in Rs. Cr.)
Andhra Bank,Yearly Results of Andhra Bank (in Rs. Cr.)
Andhra Cement,Yearly Results of Andhra Cement (in Rs. Cr.)
Andhra Paper,Yearly Results of Andhra Paper Limited (in Rs. Cr.)
Andhra Petro,Yearly Results of Andhra Petro (in Rs. Cr.)
ANDHRSUGAR,Yearly Results of The Andhra Sugar (in Rs. Cr.)
Andrew Yule,Yearly Results of Andrew Yule and Company (in Rs. Cr.)
Aneri Fincap,Yearly Results of Aneri Fincap (in Rs. Cr.)
ANG Industries,Yearly Results of ANG Industries (in Rs. Cr.)
ANG Lifescience,Yearly Results of ANG Lifesciences India (in Rs. Cr.)
Angel Fibers,Yearly Results of Angel Fibers (in Rs. Cr.)
Angel One,Yearly Results of Angel One (in Rs. Cr.)
ANI Integrated ,Yearly Results of ANI Integrated Services (in Rs. Cr.)
Anik Industries,Yearly Results of Anik Industries (in Rs. Cr.)
Anil,Yearly Results of Anil (in Rs. Cr.)
Anil Special,Yearly Results of Anil Special Steel Industries (in Rs. Cr.)
Anjani Finance,Yearly Results of Anjani Finance (in Rs. Cr.)
Anjani Foods,Yearly Results of Anjani Foods (in Rs. Cr.)
Anjani Portland,Yearly Results of Anjani Portland Cement (in Rs. Cr.)
Anjani Synth,Yearly Results of Anjani Synthetics (in Rs. Cr.)
Anka Ind,Yearly Results of Anka  India (in Rs. Cr.)
Ankit Metal,Yearly Results of Ankit Metal and Power (in Rs. Cr.)
Ankur Drugs,Yearly Results of Ankur Drugs & Pharma (in Rs. Cr.)
Ankush Finstock,Yearly Results of Ankush Finstock (in Rs. Cr.)
Anlon Tech,Yearly Results of Anlon Technology Solutions (in Rs. Cr.)
Anmol India,Yearly Results of Anmol India (in Rs. Cr.)
Anna Finance,Yearly Results of Anna Finance (in Rs. Cr.)
Annapurna Swa,Yearly Results of Annapurna Swadisht (in Rs. Cr.)
ANS Industries,Yearly Results of ANS Industries (in Rs. Cr.)
Ansal Buildwell,Yearly Results of Ansal Buildwell (in Rs. Cr.)
Ansal Housing,Yearly Results of Ansal Housing (in Rs. Cr.)
Ansal Propertie,Yearly Results of Ansal Properties & Infrastructure (in Rs. Cr.)
Anshuni Com,Yearly Results of Anshuni Commercial (in Rs. Cr.)
Antarctica,Yearly Results of Antarctica (in Rs. Cr.)
Antony Waste,Yearly Results of Antony Waste Handling Cell (in Rs. Cr.)
Anuh Pharma,Yearly Results of Anuh Pharma (in Rs. Cr.)
Anukaran Commer,Yearly Results of Anukaran Commercial Enterprises (in Rs. Cr.)
Anup Eng,Yearly Results of The Anup Engineering (in Rs. Cr.)
Anup Malleables,Yearly Results of Anup Malleables (in Rs. Cr.)
Anupam Finserv ,Yearly Results of Anupam Finserv (in Rs. Cr.)
Anupam Rasayan,Yearly Results of Anupam Rasayan India (in Rs. Cr.)
Anus Labs,Yearly Results of Anus Laboratories (in Rs. Cr.)
Ap Tanneries,Yearly Results of AP Tanneries (in Rs. Cr.)
Apar Ind,Yearly Results of Apar Industries (in Rs. Cr.)
Apcotex Ind,Yearly Results of Apcotex Industries (in Rs. Cr.)
Apex Capital An,Yearly Results of Apex Capital And Finance (in Rs. Cr.)
Apex Frozen,Yearly Results of Apex Frozen Foods (in Rs. Cr.)
Apis India,Yearly Results of Apis India (in Rs. Cr.)
APL,Yearly Results of Anuroop Packaging Limited (in Rs. Cr.)
APL Apollo,Yearly Results of APL Apollo Tubes (in Rs. Cr.)
Aplab,Yearly Results of Aplab (in Rs. Cr.)
Aplaya Creation,Yearly Results of Aplaya Creations (in Rs. Cr.)
APM Industries,Yearly Results of APM Industries (in Rs. Cr.)
Apollo Finvest,Yearly Results of Apollo Finvest (India) (in Rs. Cr.)
Apollo Hospital,Yearly Results of Apollo Hospitals Enterprises (in Rs. Cr.)
Apollo Micro Sy,Yearly Results of Apollo Micro Systems (in Rs. Cr.)
Apollo Pipes,Yearly Results of Apollo Pipes (in Rs. Cr.)
Apollo Sindoori,Yearly Results of Apollo Sindoori Hotels (in Rs. Cr.)
Apollo Tricoat ,Yearly Results of Apollo Tricoat Tubes (in Rs. Cr.)
Apollo Tyres,Yearly Results of Apollo Tyres (in Rs. Cr.)
Apoorva Leasing,Yearly Results of Apoorva Leasing Finance and Investment Company (in Rs. Cr.)
Apple Credit,Yearly Results of Apple Credit Corporation (in Rs. Cr.)
Apt Packagings,Yearly Results of Apt Packagings (in Rs. Cr.)
Aptech,Yearly Results of Aptech (in Rs. Cr.)
Aptus Ind,Yearly Results of Aptus Industries (in Rs. Cr.)
APTUS VALUE,Yearly Results of Aptus Value Housing Finance India (in Rs. Cr.)
Aqua Logistics,Yearly Results of Aqua Logistics (in Rs. Cr.)
